Year,Low,Int Low,Int High,High
1992,0,0,0,0
1993,0,0,0,0
1994,0.01,0.01,0.01,0.01
1995,0.01,0.01,0.01,0.01
1996,0.01,0.01,0.01,0.01
1997,0.01,0.01,0.01,0.02
1998,0.01,0.02,0.02,0.02
1999,0.02,0.02,0.02,0.02
2000,0.02,0.02,0.03,0.03
2001,0.02,0.02,0.03,0.03
2002,0.02,0.03,0.03,0.04
2003,0.03,0.03,0.04,0.05
2004,0.03,0.03,0.04,0.05
2005,0.03,0.04,0.05,0.06
2006,0.03,0.04,0.05,0.06
2007,0.04,0.04,0.06,0.07
2008,0.04,0.05,0.06,0.08
2009,0.04,0.05,0.07,0.09
2010,0.04,0.05,0.07,0.09
2011,0.05,0.06,0.08,0.1
2012,0.05,0.06,0.08,0.11
2013,0.05,0.06,0.09,0.12
2014,0.05,0.07,0.1,0.13
2015,0.06,0.07,0.1,0.14
2016,0.06,0.07,0.11,0.15
2017,0.06,0.08,0.11,0.16
2018,0.06,0.08,0.12,0.17
2019,0.07,0.08,0.13,0.18
2020,0.07,0.09,0.14,0.19
2021,0.07,0.09,0.14,0.2
2022,0.07,0.1,0.15,0.21
2023,0.07,0.1,0.16,0.22
2024,0.08,0.1,0.17,0.24
2025,0.08,0.11,0.17,0.25
2026,0.08,0.11,0.18,0.26
2027,0.08,0.12,0.19,0.27
2028,0.09,0.12,0.2,0.29
2029,0.09,0.13,0.21,0.3
2030,0.09,0.13,0.22,0.32
2031,0.09,0.13,0.23,0.33
2032,0.1,0.14,0.24,0.35
2033,0.1,0.14,0.24,0.36
2034,0.1,0.15,0.25,0.38
2035,0.1,0.15,0.26,0.39
2036,0.11,0.16,0.27,0.41
2037,0.11,0.16,0.28,0.42
2038,0.11,0.17,0.29,0.44
2039,0.11,0.17,0.31,0.46
2040,0.12,0.18,0.32,0.47
2041,0.12,0.18,0.33,0.49
2042,0.12,0.19,0.34,0.51
2043,0.12,0.19,0.35,0.53
2044,0.12,0.2,0.36,0.55
2045,0.13,0.2,0.37,0.56
2046,0.13,0.21,0.38,0.58
2047,0.13,0.21,0.4,0.6
2048,0.13,0.22,0.41,0.62
2049,0.14,0.22,0.42,0.64
2050,0.14,0.23,0.43,0.66
2051,0.14,0.24,0.44,0.68
2052,0.14,0.24,0.46,0.7
2053,0.15,0.25,0.47,0.73
2054,0.15,0.25,0.48,0.75
2055,0.15,0.26,0.5,0.77
2056,0.15,0.26,0.51,0.79
2057,0.16,0.27,0.52,0.81
2058,0.16,0.28,0.54,0.84
2059,0.16,0.28,0.55,0.86
2060,0.16,0.29,0.56,0.88
2061,0.17,0.29,0.58,0.91
2062,0.17,0.3,0.59,0.93
2063,0.17,0.31,0.61,0.96
2064,0.17,0.31,0.62,0.98
2065,0.17,0.32,0.64,1
2066,0.18,0.33,0.65,1.03
2067,0.18,0.33,0.67,1.06
2068,0.18,0.34,0.69,1.08
2069,0.18,0.35,0.7,1.11
2070,0.19,0.35,0.72,1.13
2071,0.19,0.36,0.73,1.16
2072,0.19,0.37,0.75,1.19
2073,0.19,0.37,0.77,1.22
2074,0.2,0.38,0.78,1.24
2075,0.2,0.39,0.8,1.27
2076,0.2,0.39,0.82,1.3
2077,0.2,0.4,0.83,1.33
2078,0.21,0.41,0.85,1.36
2079,0.21,0.41,0.87,1.39
2080,0.21,0.42,0.89,1.42
2081,0.21,0.43,0.9,1.45
2082,0.22,0.44,0.92,1.48
2083,0.22,0.44,0.94,1.51
2084,0.22,0.45,0.96,1.54
2085,0.22,0.46,0.98,1.57
2086,0.23,0.46,0.99,1.6
2087,0.23,0.47,1.01,1.63
2088,0.23,0.48,1.03,1.66
2089,0.23,0.49,1.05,1.7
2090,0.23,0.49,1.07,1.73
2091,0.24,0.5,1.09,1.76
2092,0.24,0.51,1.11,1.8
2093,0.24,0.52,1.13,1.83
2094,0.24,0.53,1.15,1.86
2095,0.25,0.53,1.17,1.9
2096,0.25,0.54,1.19,1.93
2097,0.25,0.55,1.21,1.97
2098,0.25,0.56,1.23,2
2099,0.26,0.57,1.25,2.04
2100,0.26,0.57,1.27,2.07
